type,key_area,key_attribute,theme,capability,M1,M2,M3,M4,M5,M6
skill,People & Talent,Team Health & Culture,"Motivation, Engagement & Retention",EM-17,"Depth: Sustains engagement through hard stretches; diagnoses systemic motivation problems (not just individuals) and fixes the conditions. Evidenced by: Catches disengagement across the whole team's morale during a demanding stretch, and fixes the driving condition rather than giving one-off pep talks. Scope: one team.","Depth: Sustains engagement through hard stretches; diagnoses systemic motivation problems (not just individuals) and fixes the conditions. Evidenced by: Keeps a critical team engaged through grind by restoring autonomy and purpose where they have eroded, re-recruiting key people proactively. Scope: a complex / critical team.",Depth: Builds engagement mechanisms other teams adopt; reverses disengagement trends beyond their own span. Evidenced by: Reads attrition and engagement patterns across teams and fixes the systemic causes; managers across the domain apply the playbook to their own teams. Scope: a domain (cross-team).,Depth: Builds engagement mechanisms other teams adopt; reverses disengagement trends beyond their own span. Evidenced by: Builds the conditions of motivation into a sub-org's operating model and measures their effect rather than their activity. Scope: a sub-org.,"Depth: Owns the engagement strategy for a function; conditions they designed show up in retention and survey trends. Evidenced by: Acts publicly on function-level engagement results, and tells executives the truth when money is masking a meaning problem. Scope: a function.",Depth: Advances the practice of engagement in the field; frameworks others cite and use. Evidenced by: Builds an employee value proposition people join and stay for; regrettable attrition of critical people is treated as a serious incident. Scope: org-wide.
skill,People & Talent,Team Health & Culture,Inclusion & Belonging,HR-10,"Depth: Runs standard DEI programs independently and tracks routine progress measures. Evidenced by: Runs inclusive meetings and decisions -- every voice heard, bias mitigated in hiring and reviews -- with airtime and credit tracked, not assumed. Scope: one team.","Depth: Designs DEI interventions for complex, sensitive challenges under significant ambiguity. Evidenced by: Builds inclusion into a critical team's norms and senior-IC growth, closing equity gaps in scope and visibility. Scope: a complex / critical team.","Depth: Defines DEI program frameworks and measurement approaches that other practitioners adopt. Evidenced by: Owns inclusive practice and equitable outcomes across a domain, addressing systemic barriers and auditing promotion and pay patterns. Scope: a domain (cross-team).","Depth: Defines DEI program frameworks and measurement approaches that other practitioners adopt. Evidenced by: Builds inclusion mechanisms -- meeting norms, promotion audits, pay-equity checks -- that a sub-org adopts and reports on. Scope: a sub-org.","Depth: Sets enterprise DEI strategy and anticipates shifts in equity expectations and regulation. Evidenced by: Sets inclusion strategy and accountability for a function, intervening on systemic patterns rather than the loudest case. Scope: a function.","Depth: Pioneers DEI practice recognized externally as authoritative across the field. Evidenced by: Champions an inclusive culture org-wide; the org's belonging outcomes are measured, published, and owned at the top. Scope: org-wide."
skill,Technical Stewardship,Technical Judgment & Direction,Technical Credibility,LI-06,"Depth: Maintains depth across a complex system's stack and hardest problems; a credible thought-partner to the most senior engineers, pairing them with the context they need. Evidenced by: Asks the one design-review question that makes a senior engineer redo their approach, without being the one who could have written the code. Scope: one team.","Depth: Maintains depth across a complex system's stack and hardest problems; a credible thought-partner to the most senior engineers, pairing them with the context they need. Evidenced by: Is the person a staff engineer brings a genuinely hard call to before committing to it, on a system outside their own team. Scope: a complex / critical team.","Depth: Retains broad credibility across a multi-team domain — credible on its hardest cross-cutting technical questions, current enough to ask the question that changes a design. Evidenced by: Gets pulled into a cross-team design dispute specifically because both sides trust their read of the trade-off. Scope: a domain (cross-team).","Depth: Retains broad credibility across a multi-team domain — credible on its hardest cross-cutting technical questions, current enough to ask the question that changes a design. Evidenced by: Sustains strategic technical credibility across a sub-org, credible with the principal engineers and architects who set the bar. Scope: a sub-org.","Depth: Sustains the credibility to guide an organization's technology direction; translates architectural risk into business terms without distortion, and senior technologists accept the judgment. Evidenced by: Talks a CFO out of a cost-cutting call by reframing the architectural risk in terms that survive the CFO's own scrutiny. Scope: a function.","Depth: Sustains the credibility to guide an organization's technology direction; translates architectural risk into business terms without distortion, and senior technologists accept the judgment. Evidenced by: Sustains credibility across the org's technology landscape; engineers trust their judgment because it survives contact with detail. Scope: org-wide."
skill,Technical Stewardship,Technical Judgment & Direction,Technical Strategy & Investment,LI-03,"Depth: Influences component-level decisions through credibility. Evidenced by: Reserves and defends explicit capacity for technical investment each quarter, naming what debt costs in incidents and velocity. Scope: one team.","Depth: Sets technical direction for a domain; others align to their calls. Evidenced by: Writes the technical investment case for a critical system with costed options, and makes reversible choices fast, irreversible ones deliberately. Scope: a complex / critical team.","Depth: Shapes how multiple teams approach problems; trusted tiebreaker. Evidenced by: Aligns technical direction across a domain -- shared platform bets, deprecation calendars -- through cases teams they do not run choose to fund. Scope: a domain (cross-team).","Depth: Shapes how multiple teams approach problems; trusted tiebreaker. Evidenced by: Balances a sub-org's build-buy-adopt portfolio and sequences platform migrations across years, running an investment review so choices compound. Scope: a sub-org.",Depth: Influences org-wide technical strategy. Evidenced by: Puts technical strategy on the executive agenda in business terms and wins multi-year funding for unglamorous foundations. Scope: a function.,Depth: Influences company strategic direction through insight. Evidenced by: Makes the org's defining technical bets and communicates them so thousands of local decisions align. Scope: org-wide.
skill,Technical Stewardship,Technical Judgment & Direction,Domain & Business Fluency,PD-06,"Depth: Frames own work in user/business outcomes, not just tasks. Evidenced by: Explains how the team's work serves customers and the business, and the key constraints it operates under. Scope: one team.","Depth: Treats their area as a product; uses metrics to decide what to build for a domain. Evidenced by: Connects a critical system's work to business value and cost, making trade-offs stakeholders recognize as commercially literate. Scope: a complex / critical team.","Depth: Expert at aligning technical bets with product strategy across teams. Evidenced by: Owns the business, customer, and regulatory case for a domain, aligning its technical work to outcomes and constraints. Scope: a domain (cross-team).",Depth: Expert at aligning technical bets with product strategy across teams. Evidenced by: Aligns multiple teams' work to business and regulatory strategy through the leaders running them; investment cases read in market terms first. Scope: a sub-org.,"Depth: Sets product direction for an org's technical surface. Evidenced by: Shapes how engineering serves company strategy, owning the function's business fluency. Scope: a function.",Depth: Shapes how the company creates value through technical products. Evidenced by: Connects org-wide engineering to company and market strategy; the org's technical direction reads as a business thesis. Scope: org-wide.
skill,Technical Stewardship,"Architecture, Quality & Debt",Architecture & Decision Oversight,ARC-10,Depth: Evaluates standard trade-offs independently for routine architectural choices. Evidenced by: Runs design review as a real gate -- asks the trade-off and failure-mode questions that change designs -- while leaving the decision with the engineers who own it. Scope: one team.,"Depth: Structures and defends trade-off decisions for ambiguous, high-stakes designs autonomously. Evidenced by: Spots architecture risk in a critical system before it ships, and gets it addressed without designing it themselves. Scope: a complex / critical team.","Depth: Defines trade-off analysis methods and decision frameworks others adopt. Evidenced by: Installs the decision mechanisms a domain designs by -- decision records, RFC review, architecture forums -- that teams they do not run use. Scope: a domain (cross-team).","Depth: Defines trade-off analysis methods and decision frameworks others adopt. Evidenced by: Pairs org design with architecture direction deliberately, reshaping team boundaries so the target system becomes the path of least resistance. Scope: a sub-org.","Depth: Sets how the organization makes architectural trade-offs, anticipating future tensions. Evidenced by: Holds the line on function-wide architectural coherence -- few platforms, deliberate exceptions with expiry dates -- without becoming the bottleneck. Scope: a function.","Depth: Advances trade-off-analysis practice recognized across the industry. Evidenced by: Answers for the org's technical integrity to the board and customers, knowing where the liabilities are buried and funding the excavations. Scope: org-wide."
skill,Technical Stewardship,"Architecture, Quality & Debt",Engineering Standards & Quality,SWE-02,"Depth: Writes clean, documented, modular code; gives useful review feedback. Evidenced by: Holds the quality bar in practice and does not waive it under deadline pressure without a written, expiring exception. Scope: one team.","Depth: Designs for maintainability; leads refactors of problem areas; review feedback teaches. Evidenced by: Raises the bar on a system where it has slipped, while shipping continues, and measures the change in escaped defects and change-fail rate. Scope: a complex / critical team.","Depth: Expert in code health at scale (shared libraries, deprecations, large migrations). Evidenced by: Harmonizes standards across teams by making the best team's practice everyone's default -- documented, tooled, adopted because it is easier. Scope: a domain (cross-team).","Depth: Expert in code health at scale (shared libraries, deprecations, large migrations). Evidenced by: Builds the paved road -- golden paths, shared tooling, quality gates in the pipeline -- funded as a first-class budget line. Scope: a sub-org.","Depth: Shapes org-wide engineering standards for long-lived codebases. Evidenced by: Publishes the function's engineering bar and reports honestly against it to executives, including where it is not met. Scope: a function.","Depth: Defines what good engineering looks like company-wide; externally recognized. Evidenced by: Makes engineering excellence part of the org's external identity, visible in the reliability customers experience. Scope: org-wide."
skill,Technical Stewardship,"Architecture, Quality & Debt",Technical Debt & Modernization,EM-15,Depth: Keeps a visible debt register with the cost of carry noted and defends a steady paydown allocation in planning rather than begging quarter by quarter. Evidenced by: Trades a feature slot for a paydown item in planning by pointing to the register entry showing what the debt has already cost in incidents. Scope: one team.,"Depth: Distinguishes debt worth carrying from debt that will detonate, sequences remediation by risk, and prices debt in incident and velocity terms stakeholders accept. Evidenced by: Lands a major consolidation that retires a chunk of debt without ever stopping the roadmap to do it. Scope: a complex / critical team.","Depth: Makes debt legible across multiple teams — shared taxonomy, reporting rhythm — and gets cross-team risk (the shared library nobody owns, the half-finished migration) owned and funded. Evidenced by: Makes debt legible across a domain -- a shared taxonomy and reporting rhythm teams they do not run adopt -- and aggregates cross-team risk. Scope: a domain (cross-team).","Depth: Makes debt legible across multiple teams — shared taxonomy, reporting rhythm — and gets cross-team risk (the shared library nobody owns, the half-finished migration) owned and funded. Evidenced by: Sets a sub-org's quality strategy and lands multi-quarter remediation programs against feature pressure, debt stated in business terms. Scope: a sub-org.","Depth: Carries technical risk onto the executive risk register — top exposures known, sized, owned, trending — and lands multi-quarter remediation programs against feature pressure. Evidenced by: Gets a multi-quarter remediation program funded against direct feature-roadmap competition by putting it on the executive risk register. Scope: a function.","Depth: Sets an organization's speed-versus-soundness posture explicitly — where debt is accepted for velocity and where it never is — and holds it under growth pressure. Evidenced by: Publicly names the class of debt the org will always carry for speed, so no team wastes a quarter trying to fix what leadership already decided to accept. Scope: org-wide."
skill,Communication & Influence,Communication,Written & Verbal Communication,CC-01,"Depth: Writes clear design notes, runbooks and PRs; explains trade-offs without overselling. Evidenced by: Writes updates and decision docs that lead with the answer and fit on a page, and runs meetings that end with owners and dates. Scope: one team.",Depth: Writes design docs that drive decisions; translates technical risk for non-technical stakeholders. Evidenced by: Makes complex technical situations legible to non-engineers without dumbing them down -- an incident narrative a customer team can use. Scope: a complex / critical team.,"Depth: Expert at making complex capability/risk legible to executives without dumbing it down; RFCs align orgs. Evidenced by: Writes the documents cross-team decisions get made from -- framing memos, options papers -- that people cite weeks later. Scope: a domain (cross-team).","Depth: Expert at making complex capability/risk legible to executives without dumbing it down; RFCs align orgs. Evidenced by: Sets the writing norms -- templates, pre-read culture, decision-doc formats -- a sub-org adopts because their versions demonstrably work. Scope: a sub-org.","Depth: Strategy memos leadership acts on; org-wide and external reach. Evidenced by: Delivers one message coherently across audiences -- board slide, all-hands, engineering deep-dive -- without the versions contradicting each other. Scope: a function.",Depth: A clarifying voice at company scale; externally recognized. Evidenced by: Gives the org its language -- the phrases people use to explain the strategy to each other -- and lands hard messages with clarity and humanity. Scope: org-wide.
skill,Communication & Influence,Communication,Executive & Upward Communication,CC-06,"Depth: Reports upward answer-first with a specific ask; escalates early with options attached, so no surprise reaches leadership from someone else. Evidenced by: Reports upward with the headline and the ask first, never burying the slip in paragraph four. Scope: one team.","Depth: Briefs senior leaders under pressure — facts, impact, options, and a recommendation inside the first two minutes; one-pagers get forwarded unedited. Evidenced by: Turns a skeptical VP's contested launch review into a green light in one sitting, opening with the recommendation before the data. Scope: a complex / critical team.","Depth: Builds and lands investment cases with executive audiences — pre-wired with skeptics, sized in business terms, honest about risk; coaches others for executive rooms and runs the operating reviews an organization communicates through. Evidenced by: Builds the case for a cross-team investment and lands it with an executive audience, pre-wired with the skeptics and honest about risk. Scope: a domain (cross-team).","Depth: Operates the executive room as a peer — advances positions, absorbs hostile questioning without defensiveness, and changes the room's decision more often than not. Evidenced by: Runs the operating reviews a sub-org communicates through, managing a portfolio of executive stakeholders with different agendas. Scope: a sub-org.","Depth: Operates the executive room as a peer — advances positions, absorbs hostile questioning without defensiveness, and changes the room's decision more often than not. Evidenced by: Walks into a hostile budget review as the only voice defending the function's headcount ask, and leaves with it approved. Scope: a function.","Depth: Speaks for an organization's technical reality to boards, investors, and press; trusted with the messages that cannot be delegated, and organizational credibility survives the appearances. Evidenced by: Fronts the org's response to a public outage for press and investors, and the org's credibility holds through it. Scope: org-wide."
skill,Communication & Influence,Influence & Partnership,Stakeholder Management & Partnership,PM-13,"Depth: Manages routine stakeholder relationships and communications with normal review. Evidenced by: Runs a genuine triad with product and design -- shared goals, early involvement, no surprise commitments -- and closes the loop when things change. Scope: one team.","Depth: Independently aligns conflicting stakeholders and navigates tense executive conversations. Evidenced by: Maps and works a critical program's stakeholders, and repairs a damaged partnership by resetting expectations and rebuilding credibility. Scope: a complex / critical team.","Depth: Defines stakeholder-engagement approaches others adopt and brokers the hardest alignment. Evidenced by: Treats their peer group as their first team -- argues hard in the room, backs the decision outside it -- and builds durable cross-functional relationships. Scope: a domain (cross-team).","Depth: Defines stakeholder-engagement approaches others adopt and brokers the hardest alignment. Evidenced by: Designs how a sub-org interfaces with the rest of the business -- intake paths, escalation contracts, joint planning -- so partnership survives personnel changes. Scope: a sub-org.","Depth: Sets executive-engagement strategy and anticipates leadership concerns before they arise. Evidenced by: Forms function-to-function alliances with product, sales, finance, and legal -- reciprocal, durable, tested in a crisis. Scope: a function.","Depth: Defines exemplary stakeholder management for the discipline and is externally credible on it. Evidenced by: Stewards the org's most consequential external relationships and models one-company leadership, resolving conflicts by company interest. Scope: org-wide."
skill,Communication & Influence,Influence & Partnership,Influence Without Authority,LI-07,"Depth: Wins cooperation from adjacent teams by trading in their currencies — timing help, review effort, shared credit — rather than escalating. Scope: one team.","Depth: Secures priority from other teams for an initiative with no borrowed authority; builds the case in the other party's terms and repays visibly. Evidenced by: Gets a dependency bumped ahead of another team's roadmap item by making the case in that team's own success metrics, not theirs. Scope: a complex / critical team.","Depth: Moves a multi-team domain to a shared position with no mandate — assembles the coalition, converts the best-argued skeptic — and the position holds after they stop pushing. Evidenced by: Turns the domain's most vocal skeptic of a shared direction into the person who pitches it to the next skeptic. Scope: a domain (cross-team).","Depth: Moves a multi-team domain to a shared position with no mandate — assembles the coalition, converts the best-argued skeptic — and the position holds after they stop pushing. Evidenced by: Shifts sub-org-level outcomes through people two seams away who advocate the position as their own. Scope: a sub-org.","Depth: Shifts organization-level outcomes through people several seams away who advocate the position as their own; lands decisions while holding a minority of the formal power in the room. Evidenced by: Influences peer executives and their organizations, landing function-shaping decisions while holding a minority of the formal power in the room. Scope: a function.","Depth: Shapes industry and market context in the organization's favor — standards bodies, open ecosystems, talent narratives — so external forces push where the organization wants to go. Evidenced by: Gets an external standards body to adopt a pattern the org championed, so competitors now build to terms the org set. Scope: org-wide."
skill,Communication & Influence,Influence & Partnership,Conflict Resolution & Negotiation,CC-05,"Depth: Works through disagreement to a decision without damaging relationships. Evidenced by: Surfaces simmering disagreement early and mediates it to interests, separating people from positions and driving to an agreement both sides can state fairly. Scope: one team.","Depth: Mediates technical disputes in their domain; finds the path that holds up. Evidenced by: Negotiates commitments under pressure -- scope, deadlines, contested interfaces -- reaching agreements both sides keep, with the trade documented. Scope: a complex / critical team.","Depth: Resolves high-stakes disagreements between senior stakeholders across orgs. Evidenced by: Resolves lead-to-lead conflicts others route around as a trusted broker, and teaches the parties to resolve the next one themselves. Scope: a domain (cross-team).","Depth: Resolves high-stakes disagreements between senior stakeholders across orgs. Evidenced by: Redesigns the structures that generate recurring conflict, and designs escalation paths so conflicts resolve at the lowest capable level. Scope: a sub-org.","Depth: Designs the decision processes the org uses to resolve conflict. Evidenced by: Negotiates function-level conflicts -- budget splits, shared-platform terms, charter boundaries -- keeping the relationships intact afterward. Scope: a function.",Depth: Sets the company norm for principled disagreement. Evidenced by: Turns the org's biggest ideological fights into decision processes the losing side calls fair. Scope: org-wide.
skill,Self & Personal Effectiveness,Leverage & Delegation,Managerial Leverage & Focus,EM-16,"Depth: Runs a deliberate calendar that matches stated priorities — protected one-on-ones, deep work, and team time; declines low-leverage meetings with alternatives offered. Evidenced by: Runs a deliberate calendar that matches stated priorities, and ends each week with the highest-leverage actions done. Scope: one team.","Depth: Prunes their own involvement ruthlessly as complexity grows — automates, delegates, or kills recurring work every quarter — and models sustainable pace through crunch. Evidenced by: Kills a recurring review meeting that only they found valuable, once they notice no one else has opened the notes in a month. Scope: a complex / critical team.","Depth: Chooses interventions by multiplier across many teams — the review that shapes ten decisions, the document that aligns three roadmaps — declining the rest by policy; audits their time and publishes the changes. Evidenced by: Chooses interventions by multiplier across a domain -- the review that shapes ten decisions -- and declines the rest by policy, not mood. Scope: a domain (cross-team).","Depth: Chooses interventions by multiplier across many teams — the review that shapes ten decisions, the document that aligns three roadmaps — declining the rest by policy; audits their time and publishes the changes. Evidenced by: Designs their own role top-down from the sub-org's constraints, spending time only where they are the unique unlock. Scope: a sub-org.","Depth: Allocates attention like a portfolio at organizational scale — deep on the few places they are the unique unlock, delegated on the rest — and says which is which out loud. Evidenced by: Tells the function plainly which two initiatives get their personal attention this half and which twenty do not. Scope: a function.","Depth: Spends presence deliberately as an organizational signal — where they show up moves priorities — and guards the organization's focus by limiting concurrent top priorities and abandoning stale initiatives by name. Evidenced by: Skips a well-attended launch review on principle, and the org reads the absence correctly as 'this isn't actually a top priority.' Scope: org-wide."
skill,Self & Personal Effectiveness,Leverage & Delegation,Delegation & Empowerment,EM-14,Depth: Delegates whole outcomes with context and check-in contracts matched to each person's readiness — and resists snatching work back when it wobbles. Scope: one team.,"Depth: Hands ownership of critical, visible work to someone not yet proven and scaffolds them to success, letting them keep the credit; the team runs a week without them and nothing stalls. Evidenced by: Goes on a two-week vacation from a critical workstream they handed off, and it ships on schedule without them. Scope: a complex / critical team.","Depth: Pushes decisions down across multiple teams — publishes decision rights so teams stop escalating what they can decide themselves; involvement is exception-based, and everyone knows which is which. Evidenced by: Publishes a one-page decision-rights map that stops three different teams escalating the same class of call to them every week. Scope: a domain (cross-team).","Depth: Pushes decisions down across multiple teams — publishes decision rights so teams stop escalating what they can decide themselves; involvement is exception-based, and everyone knows which is which. Evidenced by: Builds a sub-org that runs on mechanisms rather than their presence, with pre-declared tripwires for taking back control. Scope: a sub-org.","Depth: Builds organizations that run on mechanisms rather than presence — delegated authorities with audit trails, pre-declared tripwires — and grants leaders consequential authority held to outcomes, not methods. Evidenced by: Grants senior leaders genuinely consequential authority and holds them to outcomes, not methods; the function's decisions get faster as it grows. Scope: a function.","Depth: Runs an organization on intent — direction and guardrails clear enough that leaders act correctly without asking — and treats every upward escalation as a design flaw to fix. Evidenced by: Treats a director's request to escalate a call the director was empowered to make as a bug in the org design, not a normal Tuesday. Scope: org-wide."
skill,Self & Personal Effectiveness,Growth & Resilience,Self-Awareness & Learning Agility,LI-09,"Depth: Asks for feedback on their own practice and changes visibly in response — ""you said X, I changed Y"" — keeping a running list of their own failure patterns. Evidenced by: Asks for feedback on their own management and changes visibly in response, and approaches first-time situations as learnable. Scope: one team.","Depth: Knows their failure modes under pressure and manages them in the moment; staffs deliberately against known weaknesses and seeks disconfirming input before hard calls. Evidenced by: Pre-stages a co-lead for a call they know they tend to rush, because they have watched themselves rush it before. Scope: a complex / critical team.","Depth: Runs structured input on themselves — 360s, skip-level themes — and closes the loop publicly on what changed; retools openly for first-time challenges so others copy the learning method. Evidenced by: Runs a 360 and tells the org, in writing, the one thing it revealed that surprised them and what they are doing about it. Scope: a domain (cross-team).","Depth: Runs structured input on themselves — 360s, skip-level themes — and closes the loop publicly on what changed; retools openly for first-time challenges so others copy the learning method. Evidenced by: Compensates deliberately for the seniority feedback vacuum, cultivating truth-tellers and rewarding the bearer of unwelcome news. Scope: a sub-org.","Depth: Compensates deliberately for the seniority feedback vacuum — cultivates truth-tellers, rewards bearers of unwelcome news about themselves, and retires their own outdated playbook when the organization outgrows it. Evidenced by: Reinvents their leadership at function scale, letting go of the operator identity and saying 'I don't know' in rooms where pretending is the norm. Scope: a function.","Depth: Institutionalizes challenge to their own judgment — red teams, protected dissent — and manages how their moods and offhand comments get amplified across an organization. Evidenced by: Stands up a red-team review of their own biggest strategic bet and changes the bet when it finds a real hole. Scope: org-wide."
skill,Self & Personal Effectiveness,Growth & Resilience,Resilience & Sustainable Pace,LI-10,"Depth: Stays effective and steady under pressure — recovers from setbacks, manages their own energy, and models a sustainable pace others learn from watching. Evidenced by: Stays effective and steady under pressure, and models a sustainable pace the team learns from watching, not from posters. Scope: one team.","Depth: Holds up through prolonged pressure — incident sieges, crunch, organizational turbulence — helping the team stay resilient and refusing burnout-driven decisions. Evidenced by: Cancels a planned launch rather than run the team through a second consecutive crunch month, and says why out loud. Scope: a complex / critical team.","Depth: Builds resilience into how multiple teams operate — on-call health, recovery after pushes, load balancing — and repairs burnout risk at scale. Evidenced by: Notices two teams in a domain are both quietly running hot and rebalances on-call across them before either loses someone to burnout. Scope: a domain (cross-team).","Depth: Builds resilience into how multiple teams operate — on-call health, recovery after pushes, load balancing — and repairs burnout risk at scale. Evidenced by: Models and protects sustainable pace across a sub-org, including through the leaders they develop; pace is designed in, not left to heroics. Scope: a sub-org.","Depth: Stewards organizational resilience — capacity buffers, crisis rotation, energy management for senior leaders — and holds the line when business pressure argues for permanent crunch. Evidenced by: Pushes back when the business asks for a permanent on-call surge, and gets a capacity buffer funded instead. Scope: a function.","Depth: Shapes a resilient, sustainable culture across an organization; the organization absorbs shocks without breaking people, and the practice is referenced beyond it. Evidenced by: Shapes a resilient, sustainable culture org-wide; the story of the org's hardest year is told without casualties as the moral. Scope: org-wide."
skill,Self & Personal Effectiveness,Judgment & Integrity,Decision-Making Under Uncertainty,LI-04,"Depth: Decides independently within their components; evaluates alternatives honestly. Evidenced by: Sizes the decision process to reversibility, stating assumptions and confidence levels and setting a revisit date. Scope: one team.","Depth: Makes architectural choices for a domain that hold up over months. Evidenced by: Structures high-stakes calls on incomplete data, naming tripwires that trigger revisits and killing their own sunk-cost projects. Scope: a complex / critical team.","Depth: Foresees second-order consequences; sets decision frameworks for teams. Evidenced by: Installs debiasing mechanics across a domain -- pre-mortems, decision journals reviewed against outcomes -- and clarifies who decides what. Scope: a domain (cross-team).","Depth: Foresees second-order consequences; sets decision frameworks for teams. Evidenced by: Calibrates a sub-org's risk appetite decision by decision, using a scored decision record and separating decision quality from outcome luck. Scope: a sub-org.","Depth: Sets decision-making frameworks for the org. Evidenced by: Makes function-level bets under genuine ambiguity, sized so being wrong is survivable, showing the reasoning even when the bet loses. Scope: a function.",Depth: Visionary judgment; sees structural causes others miss. Evidenced by: Carries the org's irreversible decisions -- the ones with no consensus and no precedent -- with a process others trust even when they disagree. Scope: org-wide.
skill,Self & Personal Effectiveness,Judgment & Integrity,"Ethics, Integrity & Trust",LI-11,"Depth: Makes the unpopular-but-right call under pressure and absorbs the cost personally; protects the person who raised the flag and handles sensitive information impeccably. Evidenced by: Keeps commitments or renegotiates them before the deadline, never after, and owns mistakes unprompted. Scope: one team.","Depth: Makes the unpopular-but-right call under pressure and absorbs the cost personally; protects the person who raised the flag and handles sensitive information impeccably. Evidenced by: Holds the quality or safety line on a critical system under senior pressure, and protects the engineer who raised the flag. Scope: a complex / critical team.",Depth: Serves as the honest broker across teams — disputing parties accept their account of the facts — and carries uncomfortable systemic truths to the room that can fix them. Evidenced by: Serves as the honest broker across a domain -- parties in a dispute accept their account of the facts. Scope: a domain (cross-team).,"Depth: Serves as the honest broker across teams — disputing parties accept their account of the facts — and carries uncomfortable systemic truths to the room that can fix them. Evidenced by: Builds the mechanisms that make integrity cheap in a sub-org, and applies them to their own decisions first. Scope: a sub-org.","Depth: Builds mechanisms that make integrity cheap at scale — ethics review in design, safe escalation with follow-through, fairness systems whose losers affirm the process — and stops launches on ethical grounds with the business case for trust. Evidenced by: Stops function-level launches on ethical or safety grounds and defends the call upward with the business case for trust. Scope: a function.","Depth: Holds an organization's line when the profitable path and the right path diverge — the hard disclosure, the walked-away revenue — and those moments become the story the culture tells about itself. Evidenced by: Holds the org's line with the board and market when the profitable path and the right path diverge, and walks away from revenue. Scope: org-wide."
