key,type,citation,link,notes
holmes2018-mismatch,theory,"Holmes, Mismatch: How Inclusion Shapes Design (MIT Press, 2018)",https://direct.mit.edu/books/book/4137/MismatchHow-Inclusion-Shapes-Design,"Inclusive-design practice beyond compliance, by Microsoft's former Principal Director of Inclusive Design; link 403s but title/author/publisher/year confirmed by web search"
hope-fraser2003,theory,"Hope & Fraser, Beyond Budgeting: How Managers Can Break Free from the Annual Performance Trap (Harvard Business School Press, 2003)",https://store.hbr.org/product/beyond-budgeting-how-managers-can-break-free-from-the-annual-performance-trap/8660,"Adaptive, rolling-forecast planning model vs. fixed annual budgeting; anchors forecasting/planning-operations leveling"
hull2021,theory,"Hull, Options, Futures, and Other Derivatives, 11th ed. (Pearson, 2021)",https://www.pearson.com/en-us/subject-catalog/p/options-futures-and-other-derivatives/P200000005938/9780136939917,Canonical derivatives-pricing and hedging-instrument reference
humble-farley2010,theory,"Humble & Farley, Continuous Delivery: Reliable Software Releases through Build Test and Deployment Automation (Addison-Wesley, 2010)",https://continuousdelivery.com/,Deployment pipeline environment-parity and release-automation discipline
iansiti2004,theory,"Iansiti & Levien, The Keystone Advantage: What the New Dynamics of Business Ecosystems Mean for Strategy, Innovation, and Sustainability (Harvard Business School Press, 2004)",,"Keystone/dominator/niche ecosystem-role framework; verified by web search, HBS faculty page 403s to automated fetch but title/publisher/year confirmed"
iapp-privacy-certs,standard,"IAPP, Privacy Certification Programs: CIPP/CIPM/CIPT (accessed 2026-07)",https://iapp.org/certify/,Tiered privacy professional certification distinguishing practitioner-level (CIPP) from program-management-level (CIPM) competence.
ifma-cfm,standard,"IFMA, Certified Facility Manager (CFM) 11-Competency Facility Management Body of Knowledge (accessed 2026-07)",https://www.ifma.org/credentials/certified-facility-manager-cfm/,Globally recognized FM credential spanning 11 competency domains; anchors facilities/building-operations leveling
ifrs16,standard,"IFRS Foundation, IFRS 16 Leases (2016)",https://www.ifrs.org/issued-standards/list-of-standards/ifrs-16-leases/,Single lessee-accounting model for lease recognition; anchors lease-management leveling
iia-three-lines2020,standard,"The Institute of Internal Auditors, The IIA's Three Lines Model: An Update of the Three Lines of Defense (2020)",https://www.theiia.org/en/content/position-papers/2020/the-iias-three-lines-model-an-update-of-the-three-lines-of-defense/,"Governance roles distinguishing first-line management, second-line oversight, and independent third-line assurance (internal audit)."
ima-competency-framework,standard,"Institute of Management Accountants (IMA), IMA Management Accounting Competency Framework (2023)",https://prodcm.imanet.org/-/media/IMA/Files/Home/Career-Resources/Management-Accounting-Competencies/IMA-Framework-11-28-23.ashx,Ten-domain framework grading each skill from limited knowledge to expert application
interbrand-bgb-methodology,standard,"Interbrand, Best Global Brands Methodology (accessed 2026-07)",https://interbrand.com/thinking/best-global-brands-methodology/,Industry-referenced brand valuation methodology (ISO 10668-compliant)
interop-project,empirical,"WebKit, Google, Mozilla, Microsoft et al., Web Platform Tests Interop Project (2026)",https://wpt.fyi/interop-2026,Joint cross-browser initiative measuring and closing engine interoperability gaps
isc2-ethics,standard,"ISC2, Code of Ethics (accessed 2026-07)",https://www.isc2.org/ethics,Four-canon binding ethical code for certified security professionals; basis for adversarial-mindset conduct boundaries
iso-iec-42001,standard,"ISO/IEC, ISO/IEC 42001:2023 Information technology - Artificial intelligence - Management system (2023)",https://www.iso.org/standard/42001,AI management system standard for org-wide governance
iso18295,standard,"ISO, ISO 18295-1:2017 Customer contact centres — Part 1: Requirements for customer contact centres (2017)",https://www.iso.org/standard/64739.html,First international quality standard for the customer-contact-centre industry
iso19770-1,standard,"ISO/IEC, Information Technology - IT Asset Management - Part 1: IT Asset Management Systems - Requirements, ISO/IEC 19770-1:2017",https://www.iso.org/standard/68531.html,Tier-based IT/software asset management system standard (27 process areas); anchors asset-and-license-management leveling
iso22301,standard,"ISO, ISO 22301:2019 Security and Resilience - Business Continuity Management Systems - Requirements (2019)",https://www.iso.org/standard/75106.html,PDCA maturity structure for BCM programs: business impact analysis through exercising and improvement.
iso22361,standard,"ISO, ISO 22361:2022 Security and Resilience - Crisis Management - Guidelines (2022)",https://www.iso.org/standard/50267.html,"Strategic crisis-management capability framework: governance, decision-making, communication, ethics, learning."
iso25010,standard,"ISO/IEC 25010:2011, Systems and Software Engineering — Systems and Software Quality Requirements and Evaluation (SQuaRE) — System and Software Quality Models",https://www.iso.org/standard/35733.html,Standard taxonomy of software quality characteristics (non-functional requirements)
iso27001-2022,standard,"ISO/IEC, Information Security, Cybersecurity and Privacy Protection - Information Security Management Systems - Requirements, ISO/IEC 27001:2022",https://www.iso.org/standard/27001,International standard for establishing and continually improving an information security management system
iso29119-1,standard,"ISO/IEC/IEEE, Software and Systems Engineering — Software Testing — Part 1: General Concepts, ISO/IEC/IEEE 29119-1:2022",https://www.iso.org/standard/81291.html,Standard defining test policy/strategy/plan concepts; anchors test-strategy leveling
iso29148,standard,"ISO/IEC/IEEE, Systems and Software Engineering -- Life Cycle Processes -- Requirements Engineering, ISO/IEC/IEEE 29148:2018",https://www.iso.org/standard/72089.html,"Requirement-quality characteristics: unambiguous, verifiable, necessary, feasible"
iso31000,standard,"ISO, ISO 31000:2018 Risk Management - Guidelines",https://www.iso.org/standard/65694.html,"Principles, framework, and process standard for identifying, evaluating, and treating organizational risk, applied here to supplier risk"
iso41001,standard,"ISO, ISO 41001:2018 Facility Management -- Management Systems -- Requirements with Guidance for Use (2018)",https://www.iso.org/standard/68021.html,First ISO facility-management-system standard; anchors space-management strategy leveling
iso44001,standard,"ISO, ISO 44001:2017 Collaborative Business Relationship Management Systems - Requirements and Framework",https://www.iso.org/standard/72798.html,"Requirements standard for structured, maturing collaborative supplier relationships"
iso45001,standard,"ISO, ISO 45001:2018 Occupational Health and Safety Management Systems -- Requirements with Guidance for Use (2018)",https://www.iso.org/standard/63787.html,OH&S management-system standard (replaces OHSAS 18001); anchors EHS leveling
iso50001,standard,"ISO, ISO 50001:2018 Energy Management Systems -- Requirements with Guidance for Use (2018)",https://www.iso.org/standard/69426.html,Systematic energy-performance-improvement standard; anchors sustainability/energy leveling
iso55000,standard,"International Organization for Standardization, ISO 55000:2014 Asset Management -- Overview, Principles and Terminology",https://www.iso.org/standard/55088.html,Universal framework and terminology for physical-asset lifecycle and reliability management
iso55001,standard,"ISO, ISO 55001:2014 Asset Management -- Management Systems -- Requirements (2014)",https://www.iso.org/standard/55089.html,Asset-lifecycle risk/performance/cost balancing standard; anchors building-operations and maintenance leveling
iso9001,standard,"International Organization for Standardization, ISO 9001:2015 Quality Management Systems -- Requirements",https://www.iso.org/standard/62085.html,Global QMS certification standard built on the process approach and Plan-Do-Check-Act cycle
iso9241-11,standard,"ISO, ISO 9241-11:2018 Ergonomics of Human-System Interaction — Part 11: Usability: Definitions and Concepts (2018)",https://www.iso.org/standard/63500.html,Global definitional standard for usability; discipline-wide reference point
iso9241-210,standard,"ISO, ISO 9241-210:2019 Ergonomics of Human-System Interaction — Part 210: Human-Centred Design for Interactive Systems (2019)",https://www.iso.org/standard/77520.html,Defines the human-centred design process an autonomous researcher runs end-to-end
istqb-ctfl,standard,"ISTQB, Certified Tester Foundation Level Syllabus, Version 4.0 (2023)",https://istqb.org/certifications/certified-tester-foundation-level-ctfl-v4-0/,Certification-body syllabus defining foundation-level independent test practice and the formal defect life cycle
itil4,standard,"AXELOS, ITIL Foundation: ITIL 4 Edition (TSO/AXELOS, 2019)",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation,Service-value-stream and practice model for IT/business-systems service management
itil4-2019,standard,"AXELOS, ITIL Foundation: ITIL 4 Edition (2019)",https://www.axelos.com/certifications/itil-service-management/itil-4-foundation,"34 IT/service-management practices incl. incident, problem, and service-level management used to grade support-process maturity"
johnson2019-faiss,theory,"Johnson, Douze & Jegou, Billion-Scale Similarity Search with GPUs, IEEE Transactions on Big Data (2019)",https://arxiv.org/abs/1702.08734,FAISS; index strategy and retrieval at scale
kalbach2016-mapping-experiences,theory,"Kalbach, Mapping Experiences: A Complete Guide to Creating Value through Journeys, Blueprints, and Diagrams, 2nd Edition (O'Reilly, 2021)",https://www.oreilly.com/library/view/mapping-experiences-2nd/9781492076629/,Alignment diagrams as the standard journey-mapping artifact
kale2002,empirical,"Kale, Dyer & Singh, Alliance Capability, Stock Market Response, and Long-Term Alliance Success: The Role of the Alliance Function, Strategic Management Journal 23(8), 747-767 (2002)",https://sms.onlinelibrary.wiley.com/doi/abs/10.1002/smj.248,Empirical study (Fortune 500 firms) showing a dedicated alliance function raises abnormal stock returns and long-term success rate; link 403s to automated fetch but title/venue confirmed by web search
kale2009,theory,"Kale & Singh, Managing Strategic Alliances: What Do We Know Now, and Where Do We Go From Here?, Academy of Management Perspectives 23(3), 45-62 (2009)",https://carpenterstrategytoolbox.com/wp-content/uploads/2013/10/alliances-dyerkalesinghamp09.pdf,Synthesis review of alliance-management lifecycle practice (partner selection
kaner2001,theory,"Kaner, Bach & Pettichord, Lessons Learned in Software Testing: A Context-Driven Approach (Wiley, 2001)",https://www.oreilly.com/library/view/lessons-learned-in/9780471081128/,Founding text of the context-driven testing school; skilled exploratory-testing judgment
kaplan-atkinson1998,theory,"Kaplan & Atkinson, Advanced Management Accounting, 3rd ed. (Prentice Hall, 1998)",https://archive.org/details/advancedmanageme0000kapl_l3a4,"Advanced costing and management-reporting design: activity-based costing, transfer pricing, EVA"
kaplan-norton1996,theory,"Kaplan & Norton, The Balanced Scorecard: Translating Strategy into Action (Harvard Business School Press, 1996)",https://hbsp.harvard.edu/product/6513-PDF-ENG,Strategy maps linking objectives across financial/customer/process/learning perspectives; anchors OKR-cascade leveling
katzenbach1993,theory,"Katzenbach & Smith, The Wisdom of Teams: Creating the High-Performance Organization (Harvard Business School Press, 1993)",https://store.hbr.org/product/the-wisdom-of-teams-creating-the-high-performance-organization/15042,Defines what makes a real team vs. working group; team-formation criteria
kazman1998-atam,theory,"Kazman, Klein, Barbacci, Longstaff, Lipson & Carriere, The Architecture Tradeoff Analysis Method, SEI Technical Report CMU/SEI-98-TR-008 (1998)",https://www.sei.cmu.edu/library/the-architecture-tradeoff-analysis-method/,Scenario-based method for architectural trade-off analysis
kcs-v6,standard,"Consortium for Service Innovation, Knowledge-Centered Service (KCS) v6 Practices Guide (accessed 2026-07)",https://library.serviceinnovation.org/KCS/KCS_v6/KCS_v6_Practices_Guide/020,Industry-standard methodology for knowledge capture and self-service content lifecycle in support organizations
keller2013-strategicbrand,theory,"Keller, Strategic Brand Management: Building, Measuring, and Managing Brand Equity, 4th ed. (Pearson, 2013)",,Customer-based brand equity (CBBE) framework
kepner-tregoe-rca,theory,"Kepner & Tregoe, Root Cause Analysis / Problem Analysis Methodology (Kepner-Tregoe Inc., accessed 2026-07)",https://kepner-tregoe.com/training/root-cause-analysis/,"Structured problem-analysis method (situation appraisal, problem analysis) widely adopted for root-cause diagnosis; 403 on automated fetch (bot-blocked) but page/title confirmed via web search"
kholmatova2017-designsystems,theory,"Kholmatova, Design Systems: A Practical Guide to Creating Design Languages for Digital Products (Smashing Magazine, 2017)",https://www.smashingmagazine.com/design-systems-book/,Design-system governance and shared-language framework derived from practice at Airbnb/Atlassian/TED/Eurostar
kim-mauborgne1997-fairprocess,theory,"Kim & Mauborgne, Fair Process: Managing in the Knowledge Economy, Harvard Business Review 75(4), 65-75 (1997)",https://www.mmcgmeservices.org/uploads/4/2/2/3/42234941/hbr_fair_process.pdf,Engagement/explanation/expectation-clarity model of process fairness
kimball2013,theory,"Kimball & Ross, The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling, 3rd Edition (Wiley, 2013)",https://www.wiley.com/en-us/The+Data+Warehouse+Toolkit%3A+The+Definitive+Guide+to+Dimensional+Modeling%2C+3rd+Edition-p-9781118530801,Canonical dimensional modeling; star schemas slowly changing dimensions conformed dimensions
king2019,theory,"King, Parse, Don't Validate (lexi-lambda.github.io, 2019)",https://lexi-lambda.github.io/blog/2019/11/05/parse-don-t-validate/,Canonical articulation of type-driven boundary validation; anchors type-system and boundary-validation capabilities
kirkpatrick1994,theory,"Kirkpatrick, Evaluating Training Programs: The Four Levels (Berrett-Koehler, 1994)",,Four-level training evaluation model; grounds enablement-program effectiveness at org scale; verified via web search
klein1998-sources,theory,"Klein, Sources of Power: How People Make Decisions (MIT Press, 1998)",,Recognition-primed decision model; naturalistic expert judgment under time pressure and uncertainty
kleppmann2017-ddia,theory,"Kleppmann, Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems (O'Reilly, 2017)",https://dataintensive.net/,Encoding/serialization formats and schema evolution across storage and service boundaries
knaflic2015,theory,"Nussbaumer Knaflic, Storytelling with Data: A Data Visualization Guide for Business Professionals (Wiley, 2015)",https://www.wiley.com/en-us/Storytelling+with+Data:+A+Data+Visualization+Guide+for+Business+Professionals-p-9781119002253,Narrative/audience-framing layer on top of correct visualization
kohavi1995-crossval,theory,"Kohavi, A Study of Cross-Validation and Bootstrap for Accuracy Estimation and Model Selection, IJCAI 14, 1137-1145 (1995)",https://dl.acm.org/doi/10.5555/1643031.1643047,Establishes ten-fold cross-validation as the standard model-selection default; link 403s but title/venue confirmed by web search
kohavi2020-trustworthy,theory,"Kohavi, Tang & Xu, Trustworthy Online Controlled Experiments: A Practical Guide to A/B Testing (Cambridge University Press, 2020)",https://experimentguide.com/,"Canonical reference on rigorous online experimentation, confounds and guardrails"
koller2020,theory,"Koller, Goedhart & Wessels, Valuation: Measuring and Managing the Value of Companies, 7th Edition (McKinsey & Company/Wiley, 2020)",https://books.wiley.com/series/wiley-valuation-7e/,McKinsey DCF/ROIC valuation framework; anchors capital-allocation and business-case leveling
kotler-keller2016-marketingmanagement,theory,"Kotler & Keller, Marketing Management, 15th ed. (Pearson, 2016)",,Segmentation-targeting-positioning (STP) and marketing research fundamentals
kotter1996,theory,"Kotter, Leading Change (Harvard Business School Press, 1996)",https://openlibrary.org/books/OL982607M/Leading_Change,Eight-step model for leading organizational change through to durable adoption
kraljic1983,theory,"Kraljic, Purchasing Must Become Supply Management, Harvard Business Review 61(5), 109-117 (1983)",https://hbr.org/1983/09/purchasing-must-become-supply-management,Origin of the strategic-supplier portfolio matrix used to differentiate vendor negotiation posture by risk/leverage
kram1985-mentoring,theory,"Kram, Mentoring at Work: Developmental Relationships in Organizational Life (Scott Foresman, 1985)",,"Foundational academic model of mentoring functions: career support, psychosocial support, coaching, challenging"
kreps2011,empirical,"Kreps, Narkhede & Rao, Kafka: a Distributed Messaging System for Log Processing (NetDB Workshop, 2011)",https://cwiki.apache.org/confluence/download/attachments/27822226/Kafka-netdb-06-2011.pdf,Empirical log-based stream/event architecture; origin of Apache Kafka
kreuzberger2023-mlops,theory,"Kreuzberger, Kuhl & Hirschl, Machine Learning Operations (MLOps): Overview, Definition, and Architecture, IEEE Access 11, 31866-31879 (2023)",https://arxiv.org/abs/2205.02302,MLOps maturity levels from manual to full CI/CD automation
kurose-ross2020,theory,"Kurose & Ross, Computer Networking: A Top-Down Approach, 8th ed. (Pearson, 2020)",https://www.pearson.com/en-us/subject-catalog/p/computer-networking/P200000003334/9780135928615,Layered networking
lamport1978,theory,"Lamport, Time, Clocks, and the Ordering of Events in a Distributed System, Communications of the ACM 21(7), 558-565 (1978)",https://dl.acm.org/doi/10.1145/359545.359563,Foundational logical-clocks paper defining causal ordering in distributed systems -- link 403s (dl.acm.org blocks automated clients) but title/venue/vol/pages confirmed by WebSearch
lamport1982-byzantine,theory,"Lamport, Shostak & Pease, The Byzantine Generals Problem, ACM TOPLAS 4(3), 382-401 (1982)",https://lamport.azurewebsites.net/pubs/byz.pdf,Foundational Byzantine fault tolerance / consensus safety-liveness theory
lamport1998-paxos,theory,"Lamport, The Part-Time Parliament, ACM Transactions on Computer Systems 16(2), 133-169 (1998)",https://lamport.azurewebsites.net/pubs/lamport-paxos.pdf,Paxos consensus algorithm
larson2021-staffeng,company-ladder,"Larson, Staff Engineer: Leadership Beyond the Management Track (self-published, 2021)",https://staffeng.com/book/,Tech Lead / Solver / Architect / Right-Hand archetypes for senior IC technical leadership scope
lax2006,theory,"Lax & Sebenius, 3-D Negotiation: Powerful Tools to Change the Game in Your Most Important Deals (Harvard Business School Press, 2006)",,"Tactics/deal-design/setup framework for complex multi-party negotiations; verified by web search, HBS faculty page 403s to automated fetch but title/publisher/year confirmed"
leed-usgbc,standard,"U.S. Green Building Council, LEED Rating System (ongoing)",https://www.usgbc.org/leed,Most widely used green-building certification framework; anchors sustainability/energy leveling
leesman-index,empirical,"Leesman, The Leesman Index: Global Workplace Effectiveness Database (ongoing)",https://www.leesmanindex.com/,"425,000+ respondent workplace-effectiveness benchmarking database (Lmi score); anchors workplace-experience leveling"
lencioni2002-fivedysfunctions,theory,"Lencioni, The Five Dysfunctions of a Team: A Leadership Fable (Jossey-Bass, 2002)",https://openlibrary.org/works/OL3906183W/The_five_dysfunctions_of_a_team,Trust/conflict/commitment team-dysfunction model; grounds teamwork and partnership leveling
lengyel2016,theory,"Lengyel, Foundations of Game Engine Development, Volume 1: Mathematics (Terathon Software, 2016)",https://foundationsofgameenginedev.com/,"Engine math foundations: vectors, transforms, geometric algebra"
leslie2006,empirical,"Leslie & Holloway, The Sales Learning Curve, Harvard Business Review 84(7-8), 114-123 (2006)",https://hbr.org/2006/07/the-sales-learning-curve,Empirical framework for sales-productivity ramp (initiation/transition/execution phases); anchors forecasting and quota-attainment leveling
lewis2020-rag,theory,"Lewis et al., Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks, NeurIPS 2020",https://arxiv.org/abs/2005.11401,Origin of the retrieve-then-generate RAG architecture
li2014,empirical,"Li, Hao, Gui & Halfond, An Empirical Study of the Energy Consumption of Android Applications, ICSME (2014)",https://ieeexplore.ieee.org/document/6976078/,Empirical measurement of where Android apps spend energy (APIs; network dominates)
liang2022-helm,empirical,"Liang et al., Holistic Evaluation of Language Models (HELM), Stanford CRFM (2022)",https://arxiv.org/abs/2211.09110,"Multi-scenario, multi-metric LLM evaluation methodology at scale"
limoncelli2016,theory,"Limoncelli, Chalup & Hogan, The Practice of System and Network Administration: DevOps and Other Best Practices for Enterprise IT, Volume 1, 3rd Edition (Addison-Wesley Professional, 2016)",https://www.pearson.com/en-us/subject-catalog/p/practice-of-system-and-network-administration-the-devops-and-other-best-practices-for-enterprise-it-volume-1/P200000003392,"Canonical sysadmin practice reference: standard operating procedures through org-wide operations strategy; verified via WebSearch (Pearson catalog page, HTTP 200)"
lombardo2017-roadmaps-relaunched,theory,"Lombardo, McCarthy, Ryan & Connors, Product Roadmaps Relaunched: How to Set Direction while Embracing Uncertainty (O'Reilly, 2017)",https://www.oreilly.com/library/view/product-roadmaps-relaunched/9781491971710/,"Theme-based, outcome-oriented roadmap format as a living communication artifact"
lupton2010-thinkingwithtype,theory,"Lupton, Thinking with Type, 2nd Edition (Princeton Architectural Press, 2010)",https://archive.org/details/thinkingwithtype0000lupt_h9e8,Typographic system framework widely adopted as a design-language reference
manning2008,theory,"Manning, Raghavan & Schutze, Introduction to Information Retrieval (Cambridge University Press, 2008)",https://nlp.stanford.edu/IR-book/information-retrieval-book.html,"Inverted-index, ranking, and relevance theory"
martin2008,theory,"Martin, Clean Code: A Handbook of Agile Software Craftsmanship (Prentice Hall, 2008)",https://www.oreilly.com/library/view/clean-code-a/9780136083238/,Code-as-communication thesis; basis for review-teaching code quality bar
maslach-leiter1997,empirical,"Maslach & Leiter, The Truth About Burnout: How Organizations Cause Personal Stress and What to Do About It (Jossey-Bass, 1997)",,"Burnout research (exhaustion, cynicism, inefficacy) and organizational sources of overload"
material-motion,theory,"Google, Material Design 3 Motion guidelines",https://m3.material.io/styles/motion/overview,"Named, published motion-design framework (duration/easing tokens) for UI animation"
material3,standard,"Google, Material Design 3 (accessed 2026-07)",https://m3.material.io/,Canonical Android/cross-platform UI component and interaction system
mayer1995-trust,theory,"Mayer, Davis & Schoorman, An Integrative Model of Organizational Trust, Academy of Management Review 20(3), 709-734 (1995)",https://people.wku.edu/richard.miller/Mayer%20Trust%20article.pdf,Ability/benevolence/integrity model of trustworthiness; foundational organizational-trust theory
mcconnell2004,theory,"McConnell, Code Complete: A Practical Handbook of Software Construction, 2nd Edition (Microsoft Press, 2004)",https://www.microsoftpressstore.com/store/code-complete-9780735619678,Construction-discipline reference used to ground novice-to-competent coding levels
mckinsey-diversity2020,empirical,"Hunt, Prince, Dixon-Fyle & Yee, Diversity Wins: How Inclusion Matters (McKinsey & Company, 2020)",https://www.mckinsey.com/featured-insights/diversity-and-inclusion/diversity-wins-interactive,Connection timeout on automated fetch (blocked in this environment) but title/publisher/content confirmed via web search across mckinsey.com itself and multiple independent citing sources; anchors DEI leveling
mcp-spec,standard,"Anthropic, Model Context Protocol Specification (2025-11-25)",https://modelcontextprotocol.io/specification/2025-11-25,Open standard for tool/context interoperability across agentic systems
meadows2008,theory,"Meadows (ed. Wright), Thinking in Systems: A Primer (Chelsea Green, 2008)",https://www.chelseagreen.com/product/thinking-in-systems/,"Stocks/flows, feedback loops, and system archetypes; link verified 200"
mehta2016-customersuccess,theory,"Mehta, Steinman & Murphy, Customer Success: How Innovative Companies Are Reducing Churn and Growing Recurring Revenue (Wiley, 2016)",https://www.wiley.com/en-us/Customer+Success%3A+How+Innovative+Companies+Are+Reducing+Churn+and+Growing+Recurring+Revenue-p-9781119167969,Customer success function design and account-health playbooks
menezes1996-hac,theory,"Menezes, van Oorschot & Vanstone, Handbook of Applied Cryptography (CRC Press, 1996)",https://cacr.uwaterloo.ca/hac/,"Standard applied cryptography reference, free official edition hosted by University of Waterloo CACR"
meszaros2007,theory,"Meszaros, xUnit Test Patterns: Refactoring Test Code (Addison-Wesley, 2007)",http://xunitpatterns.com/,Catalog of maintainable automation-framework and test-fixture design patterns
metr2025,empirical,"Becker, Rush, Barnes & Rein (METR), Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity (2025)",https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/,RCT showing AI can slow experienced developers on complex codebases; anchors the calibration/verification bar for AI-augmented development
milkovich2020,theory,"Milkovich, Newman & Gerhart, Compensation, 12th Edition (McGraw-Hill Education, 2016)",https://www.mheducation.com/highered/discipline/management-organization/course/compensation.10327.html,Total compensation model; internal-equity-vs-market-competitiveness design tension anchors pay-structure leveling
millerheiman1985,theory,"Miller & Heiman, Strategic Selling: The Unique Sales System Proven Successful by America's Best Companies (William Morrow, 1985)",,"Blue Sheet multi-buying-influence framework for complex B2B deals; verified by web search, no stable canonical URL for a 1985 edition"
millington2019,theory,"Millington, AI for Games, 3rd Edition (CRC Press, 2019)",https://www.routledge.com/AI-for-Games-Third-Edition/Millington/p/book/9781138483972,Standard reference for game AI/behavior systems
minchington2010,theory,"Minchington, Employer Brand Leadership: A Global Perspective (Collective Learning Australia, 2010)",,"Employer-brand maturity and leadership framework; verified via web search (Google Books, AbeBooks first-edition listing), no stable canonical publisher URL"
minto1996-pyramid,theory,"Minto, The Minto Pyramid Principle: Logic in Writing, Thinking, and Problem Solving (Minto International, 1996)",https://www.barbaraminto.com/,"Answer-first, structured argument method; grounds executive-communication and design-doc leveling"
mitre-attack,standard,"MITRE, ATT&CK: Adversarial Tactics, Techniques and Common Knowledge (accessed 2026-07)",https://attack.mitre.org/,Community knowledge base of real-world adversary tactics/techniques used to design and evaluate detections
molyneaux2014,theory,"Molyneaux, The Art of Application Performance Testing, 2nd Edition (O'Reilly, 2014)",https://www.oreilly.com/library/view/the-art-of/9781491900536/,Performance-testing methodology from strategy through bottleneck diagnosis
moore1991-crossing-chasm,theory,"Moore, Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers, 3rd Edition (HarperBusiness, 2014; orig. 1991)",https://archive.org/details/crossingthechasm_202002,Technology adoption lifecycle and the chasm between early and mainstream markets; whitespace and launch-beachhead strategy
morris2021,theory,"Morris, Infrastructure as Code: Dynamic Systems for the Cloud Age, 2nd Edition (O'Reilly, 2021)",https://www.oreilly.com/library/view/infrastructure-as-code/9781098114664/,Declarative provisioning module design state management and idempotent infrastructure patterns
ms-365-admin-expert,company-ladder,"Microsoft, Microsoft 365 Certified: Administrator Expert (Exam MS-102, accessed 2026-07)",https://learn.microsoft.com/en-us/credentials/certifications/m365-administrator-expert/,"Published associate-to-expert certification path for tenant-wide collaboration/productivity-platform administration (identity, security, compliance); anchors collaboration-platform-management leveling"
ms-inclusive-design,company-ladder,"Microsoft, Inclusive Design Toolkit and Principles (Microsoft Design, accessed 2026-07)",https://inclusive.microsoft.design/,Published company framework for inclusive design practice adopted industry-wide
msft-style-guide,standard,"Microsoft, Microsoft Writing Style Guide (accessed 2026-07)",https://learn.microsoft.com/style-guide/welcome/,Applied editorial governance standard at a large developer platform
myers2011,theory,"Myers, Sandler & Badgett, The Art of Software Testing, 3rd Edition (Wiley, 2011)",https://www.wiley.com/en-us/The+Art+of+Software+Testing%2C+3rd+Edition-p-9781119202486,"Founding text of equivalence partitioning, boundary-value analysis, and decision-table test-design techniques"
nadler-tushman1997,theory,"Nadler, Tushman & Nadler, Competing by Design: The Power of Organizational Architecture (Oxford University Press, 1997)",https://www.abebooks.co.uk/9780195099171/Competing-Design-Power-Organizational-Architecture-0195099176/plp,Congruence model for organizational architecture and structural design at scale
nagle2016,theory,"Nagle, Hogan & Zale, The Strategy and Tactics of Pricing: A Guide to Growing More Profitably, 6th Edition (Routledge, 2016)",https://www.taylorfrancis.com/books/mono/10.4324/9781315266220/strategy-tactics-pricing-thomas-nagle-john-hogan-joseph-zale,Value-based pricing-policy framework; 403 on automated fetch (bot-blocked) but title/publisher/edition confirmed via web search
nagle2023-pricing,theory,"Nagle, Muller & Gruyaert, The Strategy and Tactics of Pricing: A Guide to Growing More Profitably, 7th Edition (Routledge, 2023)",https://www.routledge.com/The-Strategy-and-Tactics-of-Pricing-A-Guide-to-Growing-More-Profitably/Nagle-Muller-Gruyaert/p/book/9781032016825,"Value-based pricing and the value cascade, as against cost-plus defaults"
nakajima1988-tpm,theory,"Nakajima, Introduction to TPM: Total Productive Maintenance (Productivity Press, 1988)",https://books.google.com/books/about/Introduction_to_TPM.html?id=XKc28H3JeUUC,First English-language text codifying Total Productive Maintenance: autonomous maintenance and failure-root-cause strategy
nakamoto2008,theory,"Nakamoto, Bitcoin: A Peer-to-Peer Electronic Cash System (2008)",https://bitcoin.org/bitcoin.pdf,Foundational proof-of-work consensus design
newman2021,theory,"Newman, Building Microservices: Designing Fine-Grained Systems, 2nd Edition (O'Reilly, 2021)",https://samnewman.io/books/building_microservices_2nd_edition/,Service/platform design at scale; anchors expert+ API/service design levels
newman2021-microservices,theory,"Newman, Building Microservices: Designing Fine-Grained Systems, 2nd ed. (O'Reilly, 2021)",https://www.oreilly.com/library/view/building-microservices-2nd/9781492034018/,Service decomposition and boundary heuristics
newport2016,theory,"Newport, Deep Work: Rules for Focused Success in a Distracted World (Grand Central Publishing, 2016)",https://www.hachettebookgroup.com/titles/cal-newport/deep-work/9781455586691/,Deliberate elimination of low-value shallow work to protect high-leverage focus time
nginx-lb-docs,standard,"NGINX, Inc., NGINX HTTP Load Balancing (Admin Guide, accessed 2026-07)",https://docs.nginx.com/nginx/admin-guide/load-balancer/http-load-balancer/,"Named load-balancing methods (round-robin, least-connections, ip-hash) as de facto industry-standard reference; verified via curl (HTTP 200)"
nielsen1994-heuristics,theory,"Nielsen, Enhancing the Explanatory Power of Usability Heuristics, Proc. ACM CHI'94, 152-158 (1994)",https://dl.acm.org/doi/10.1145/191666.191729,Most-cited usability heuristics framework in the discipline; link 403s but title/author/venue confirmed by web search
