id,segment,domain,focus_area,capability,type,description,P1_assisted,P2_independent,P3_proficient,P4_expert,P5_authority,P6_pioneer
AI-07,Engineering & Technology,AI & ML Engineering,Data Preparation for ML,Data labeling & dataset curation,Technical,"Assembles, labels, and curates representative datasets suitable for model training.",Labels data to clear guidelines and flags ambiguities under review.,"Curates and labels routine datasets independently, applying consistent guidelines.",Designs labeling schemes and resolves ambiguity and quality issues autonomously.,Defines curation and annotation-quality standards others adopt.,Sets dataset strategy and anticipates shifts in labeling and curation practice.,Defines industry best practice for dataset curation and is externally credible.
AI-08,Engineering & Technology,AI & ML Engineering,Data Preparation for ML,Feature stores & reuse,Technical,"Manages consistent, shareable feature definitions across training and serving.",Registers and retrieves features from a feature store under guidance.,Publishes and consumes reusable features independently for routine use.,Designs feature definitions ensuring consistency and freshness across uses autonomously.,Defines feature-store patterns and reuse governance others adopt.,Sets feature-reuse strategy and anticipates shifts in feature management.,Defines best practice for feature reuse across the discipline and is externally recognized.
AI-09,Engineering & Technology,AI & ML Engineering,Modeling & Training,Classical model training & selection,Technical,Trains and compares supervised and unsupervised models to fit the problem at hand.,Trains models with given settings and reports metrics under review.,Trains and selects standard models independently for routine problems.,Chooses and trains appropriate models for ambiguous problems and avoids overfitting autonomously.,Defines model-selection approaches others adopt and solves intractable modeling cases.,Sets modeling strategy and anticipates shifts in classical technique relevance.,Defines best practice for model selection across the discipline and is externally recognized.
AI-10,Engineering & Technology,AI & ML Engineering,Modeling & Training,Deep learning & neural architectures,Technical,"Designs and trains neural networks for complex perception, sequence, and representation tasks.",Trains predefined network architectures under review.,Adapts standard architectures independently for routine tasks.,Designs and debugs architectures for hard problems and convergence issues autonomously.,Defines architectural patterns others adopt and solves problems others cannot.,Sets neural-architecture strategy and anticipates emerging model designs.,Shapes industry practice for neural architecture and is externally credible.
AI-11,Engineering & Technology,AI & ML Engineering,Modeling & Training,Hyperparameter tuning & optimization,Technical,Systematically searches model configurations to maximize performance and generalization.,Runs prescribed tuning sweeps and reports results under guidance.,Tunes standard hyperparameters independently for routine models.,"Designs efficient search strategies for hard, high-dimensional spaces autonomously.",Defines tuning methodologies others adopt and solves stubborn optimization cases.,Sets optimization strategy and anticipates advances in search techniques.,Defines best practice for hyperparameter optimization and is externally recognized.
AI-12,Engineering & Technology,AI & ML Engineering,Modeling & Training,Mathematical & statistical foundations,Technical,"Applies linear algebra, calculus, and probability to reason about model behavior.",Applies basic mathematical and statistical concepts to tasks under guidance.,Applies foundational math and statistics correctly to routine modeling independently.,Reasons rigorously about hard mathematical and statistical aspects of problems autonomously.,Defines how foundational theory informs practice others adopt and corrects subtle errors.,Sets standards for mathematical rigor and anticipates relevant theoretical advances.,Recognized externally for advancing applied mathematical practice in the discipline.
AI-13,Engineering & Technology,AI & ML Engineering,Evaluation & Experimentation,Model evaluation & validation,Technical,"Assesses model accuracy, robustness, and generalization with sound validation methods.",Computes prescribed evaluation metrics under review.,Selects appropriate metrics and validation splits independently for routine cases.,"Designs sound evaluation for ambiguous, leakage-prone, or imbalanced cases autonomously.",Defines evaluation methodologies and validation standards others adopt.,Sets evaluation strategy and anticipates advances in validation practice.,Defines best practice for model evaluation across the discipline and is externally recognized.
AI-14,Engineering & Technology,AI & ML Engineering,Evaluation & Experimentation,Experimentation & A/B testing (ML),Technical,Designs controlled experiments to measure real-world impact of models and changes.,Executes designed experiments and reports outcomes under guidance.,Designs and runs standard experiments independently with correct basic analysis.,Designs rigorous experiments handling confounds and tricky readouts autonomously.,Defines experimentation frameworks and guardrails others adopt.,Sets experimentation strategy and anticipates advances in causal and online testing.,Defines best practice for ML experimentation and is externally credible.
AI-15,Engineering & Technology,AI & ML Engineering,Evaluation & Experimentation,"Bias, fairness & error analysis",Behavioral,Investigates model errors and disparate outcomes to guide responsible improvement.,Runs prescribed bias and error checks under review.,Performs standard fairness and error analysis independently for routine models.,Diagnoses subtle bias and failure modes in ambiguous cases and proposes remedies autonomously.,Defines fairness and error-analysis frameworks others adopt.,Sets fairness strategy and anticipates evolving ethical and regulatory expectations.,Shapes industry practice for fairness and error analysis and is externally recognized.
AI-16,Engineering & Technology,AI & ML Engineering,ML Operations & Lifecycle,ML pipeline & deployment (MLOps),Technical,"Automates training, packaging, and deployment of models into reliable production services.",Runs predefined training and deployment steps under review.,Builds and deploys routine ML pipelines independently with normal automation.,"Designs reliable, reproducible deployment pipelines for hard cases autonomously.",Defines MLOps patterns and deployment standards others adopt.,Sets MLOps strategy and anticipates shifts in lifecycle automation.,Defines best practice for ML operations across the discipline and is externally recognized.
AI-17,Engineering & Technology,AI & ML Engineering,ML Operations & Lifecycle,Model monitoring & drift detection,Technical,Tracks live model quality and data drift to trigger retraining or rollback.,Watches configured monitors and reports alerts under guidance.,Sets up standard performance and drift monitoring independently.,Designs monitoring that catches subtle drift and degradation autonomously and triages causes.,Defines monitoring and drift-detection patterns others adopt.,Sets monitoring strategy and anticipates advances in drift detection.,Defines best practice for model monitoring and is externally credible.
AI-18,Engineering & Technology,AI & ML Engineering,ML Operations & Lifecycle,Model & experiment versioning,Technical,"Tracks datasets, models, and experiments for reproducibility and auditability.",Records model and experiment versions per process under review.,"Manages standard versioning of models, data, and experiments independently.",Designs reproducible versioning across complex experiment lineages autonomously.,Defines versioning and reproducibility standards others adopt.,Sets versioning strategy and anticipates shifts in reproducibility practice.,Defines best practice for model and experiment versioning and is externally recognized.
AI-19,Engineering & Technology,AI & ML Engineering,ML Operations & Lifecycle,Model serving & inference optimization,Technical,"Exposes models for low-latency, scalable inference across batch and real-time use.",Deploys models to a serving setup with given configs under review.,Serves models independently and applies standard latency and throughput tuning.,"Optimizes serving for hard latency, scale, and cost constraints autonomously.",Defines serving and inference-optimization patterns others adopt.,Sets serving strategy and anticipates advances in inference efficiency.,Defines best practice for model serving across the discipline and is externally recognized.
AI-20,Engineering & Technology,AI & ML Engineering,ML Operations & Lifecycle,Problem framing & ML solution design,Behavioral,"Translates ambiguous business problems into well-posed, feasible ML approaches.",Translates a clearly scoped problem into a defined ML task under guidance.,Frames routine problems as appropriate ML solutions independently.,Frames ambiguous business problems into sound ML or non-ML approaches autonomously.,Defines solution-design patterns others adopt and reframes intractable problems.,Sets ML solution strategy and anticipates where applicable techniques are heading.,Defines best practice for ML problem framing across the discipline and is externally recognized.
AI-21,Engineering & Technology,AI & ML Engineering,AI Quality & Safety,AI risk governance,Behavioral,"Assesses and governs the risk of AI systems through their lifecycle - classifying systems against recognized risk frameworks, converting findings into engineering requirements with owners, and keeping the evidence trail (evals, controls, incidents) audit-ready as systems and regulation change.",Completes the risk checklist for their change accurately - identifying who is affected if the model is wrong - and escalates anything the checklist doesn't cover.,"Assesses a feature's failure impact before build (misuse, error harm, disparate performance across user groups) and documents mitigations and residual risk unprompted.","Classifies a domain against the applicable risk framework, keeps its evidence pack (evals, controls, incidents) audit-ready, converts findings into engineering requirements with owners, and flags when a product change alters the risk class.","Operates a cross-team AI risk-review process - fast enough that teams use it honestly, rigorous enough to catch real issues - and builds governance tooling that makes compliance a byproduct of normal engineering.","Owns an organization's AI governance program jointly with legal and risk functions, translating regulation into engineering requirements without freezing delivery.","Positions a company ahead of AI regulation; accountable to executives, boards, and regulators for where the risk lines are drawn."
OPS-01,Engineering & Technology,"Systems, Infrastructure & Operations",Infrastructure,Cloud & Infrastructure Engineering,Technical,"Engineers compute, network, storage and IaC.",Makes guided changes to existing infra; understands core cloud services.,Independently builds and manages standard resources using IaC.,"Designs infra for scale, cost and resilience across a domain.",Expert in infra platforms used by many teams; owns major cost strategy.,Sets org infrastructure direction.,Trusted with company-level platform bets; defines infra strategy.
OPS-02,Engineering & Technology,"Systems, Infrastructure & Operations",Infrastructure,CI/CD & Delivery Engineering,Technical,"Builds the build, test, release and deploy pipeline.",Uses and makes guided fixes to existing pipelines.,Independently builds and improves pipelines for their area.,"Designs deployment safety (progressive delivery, rollback) for a domain.",Expert in delivery engineering at scale; sets standards across teams.,Defines the org's delivery/release philosophy.,Advances release engineering practice company-wide.
OPS-03,Engineering & Technology,"Systems, Infrastructure & Operations",Infrastructure,Distributed Systems,Technical,Reasons about systems spanning many machines.,"Understands the basics (timeouts, retries, idempotency) conceptually.",Correctly applies distributed patterns in scoped work.,"Designs for distributed failure modes (consistency, partitioning, backpressure).",Expert in distributed systems at scale; anticipates emergent failure.,Shapes how the org builds at scale.,Authority on distributed design; influences the field.
OPS-04,Engineering & Technology,"Systems, Infrastructure & Operations",Operations,Reliability & Production Operations,Technical,Keeps services healthy; designs for failure.,Understands SLOs and common failure modes; keeps components healthy with guidance.,"Builds retries, timeouts and fallbacks; understands blast radius.",Designs for graceful degradation; defines SLOs; accountable for a domain's reliability.,Expert in resilience and capacity planning at scale; drives down incidents systemically.,Owns org-level reliability; fixes risk in process and org design.,Sets the company's reliability philosophy.
OPS-05,Engineering & Technology,"Systems, Infrastructure & Operations",Operations,Observability & Instrumentation,Technical,Makes system behavior visible.,Understands logs/metrics/traces; reads existing dashboards.,Instruments their services; builds dashboards; tunes alerts to limit noise.,"Designs observability for complex systems (end-to-end traces, quality signals, cost attribution).","Expert in instrumentation trade-offs at scale, incl. privacy-safe logging.",Defines org observability strategy.,Shapes company-wide operational visibility; advances practice.
OPS-06,Engineering & Technology,"Systems, Infrastructure & Operations",Operations,Incident Response,Technical,Responds to and learns from production incidents.,Responds to alerts with support; follows runbooks; escalates appropriately.,Triages and resolves routine incidents; clear notes; takes on-call.,Leads response to complex failures; blameless postmortems; same failure never recurs.,"Expert in incident-management design (rotations, severity, escalation).",Commands the highest-severity incidents; sets incident process org-wide.,Sets the company's incident philosophy; calm authority in the worst moments.
OPS-07,Engineering & Technology,"Systems, Infrastructure & Operations",Operations,Cost & Performance Optimization,Technical,Keeps systems fast and economical.,Understands cost/latency drivers of what they build.,Applies standard optimizations; stays within cost/latency budgets.,Designs cost-aware architectures; defines and tracks unit economics for a domain.,"Expert in economics at scale (fleet optimization, build-vs-buy).",Owns org-level spend strategy; cost decisions change margins.,Shapes the company economics of the products.
OPS-08,Engineering & Technology,"Systems, Infrastructure & Operations",Security,Application & Systems Security,Technical,Builds secure-by-default systems.,Understands core appsec; follows practices and flags concerns.,Applies least privilege; validates/sanitizes inputs; knows common attacks.,Designs defense in depth; thinks in abuse cases; owns a domain's posture.,Expert in securing systems at scale; leads red-teaming and remediation.,Defines security strategy for the org's surface area.,Company-level accountability; authority on the field.
OPS-09,Engineering & Technology,"Systems, Infrastructure & Operations",Security,Privacy & Compliance Engineering,Technical,"Bakes privacy, audit and regulatory controls into systems.",Knows data handling has privacy implications; follows rules.,"Applies PII handling, redaction, residency and retention correctly.","Designs for compliance (consent, audit trails, regional rules); owns readiness for a domain.",Expert at translating regulation into controls; represents engineering in audits.,Sets org compliance strategy; anticipates regulation.,Authoritative on the landscape; trusted interface to regulators.
OPS-10,Engineering & Technology,"Systems, Infrastructure & Operations",Provisioning & Configuration,Infrastructure as code & provisioning,Technical,Define and version infrastructure declaratively to provision repeatable environments.,"Writes simple declarative resource definitions from templates, applying them under review in non-production environments.","Independently provisions standard infrastructure stacks, manages state and variables, and handles routine drift with normal review.","Designs reusable modules for ambiguous needs, structures state safely, and is the go-to for tricky provisioning failures.","Defines the provisioning patterns and module conventions others adopt, solving thorny dependency and idempotency problems.","Sets the organization-wide IaC strategy, governance, and standards, anticipating shifts in declarative provisioning practice.","Defines what good infrastructure-as-code means for the field, shaping provisioning practices recognized across the industry."
OPS-11,Engineering & Technology,"Systems, Infrastructure & Operations",Provisioning & Configuration,Configuration management & desired-state enforcement,Technical,Automate system configuration and continuously converge hosts to a defined target state.,"Applies predefined configuration policies to hosts under supervision, verifying convergence against the declared desired state.","Authors and maintains standard configuration definitions independently, remediating routine drift with normal review.","Designs idempotent configuration for ambiguous cases, manages secrets and ordering, and resolves hard convergence failures.","Defines the configuration architecture and enforcement model others adopt, solving deep drift and idempotency problems.","Sets strategy for desired-state enforcement across the estate, anticipating where configuration management is heading.","Defines industry standards for desired-state enforcement, externally credible in shaping configuration practice."
OPS-12,Engineering & Technology,"Systems, Infrastructure & Operations",Provisioning & Configuration,Image & artifact building / golden baselines,Technical,"Produce hardened, reproducible machine and application images for consistent deployment.","Builds images from existing recipes under review, verifying contents match the documented baseline.",Independently maintains image build pipelines and updates baselines for routine patches and version changes.,"Designs hardened, minimal golden images for ambiguous needs and resolves tricky reproducibility and provenance issues.","Defines the baseline strategy and build conventions others adopt, solving layering, supply-chain, and drift problems.","Sets organization-wide standards for image lifecycle and provenance, anticipating shifts in artifact-building practice.","Defines what a trustworthy golden baseline means for the discipline, shaping industry artifact-integrity practice."
OPS-13,Engineering & Technology,"Systems, Infrastructure & Operations",Provisioning & Configuration,Environment & release promotion strategy,Technical,"Design promotion paths and parity across dev, staging, and production environments.","Promotes builds through predefined environment stages under review, following the documented gating checklist.","Independently manages standard promotion flows across environments, handling routine approvals and rollbacks with review.","Designs promotion paths and gates for ambiguous release scenarios, resolving hard environment-parity and rollback issues.","Defines the promotion model and gating strategy others adopt, solving complex multi-stage and dependency problems.","Sets organization-wide release-promotion strategy, anticipating how environment progression and gating should evolve.","Defines what disciplined release promotion means for the field, shaping industry environment-strategy practice."
OPS-14,Engineering & Technology,"Systems, Infrastructure & Operations",Compute & Workload Orchestration,Container orchestration & scheduling,Technical,"Schedule, place, and manage containerized workloads across a cluster of compute nodes.","Deploys workloads to an existing orchestrator under review, adjusting basic scheduling settings from examples.","Independently operates orchestrated workloads, manages routine scaling, placement, and health checks with normal review.","Designs scheduling, affinity, and resource policies for ambiguous workloads and resolves hard orchestration failures.","Defines cluster topology and scheduling patterns others adopt, solving deep placement, contention, and lifecycle problems.","Sets organization-wide orchestration strategy and standards, anticipating where workload scheduling is heading.","Defines what effective orchestration means for the discipline, externally credible in shaping scheduling practice."
OPS-15,Engineering & Technology,"Systems, Infrastructure & Operations",Compute & Workload Orchestration,Containerization & workload packaging,Technical,"Package applications and dependencies into portable, isolated runtime units.","Packages applications into containers from existing recipes under review, verifying they run as expected.","Independently builds and maintains container images, managing dependencies and layers for routine workloads with review.","Designs minimal, secure, reproducible packaging for ambiguous workloads and resolves tricky runtime and size issues.","Defines packaging conventions and base-image strategy others adopt, solving deep build-efficiency and isolation problems.","Sets organization-wide containerization standards, anticipating shifts in workload packaging and runtime practice.","Defines what good workload packaging means for the field, shaping industry containerization practice."
OPS-16,Engineering & Technology,"Systems, Infrastructure & Operations",Compute & Workload Orchestration,Capacity & autoscaling design,Technical,Plan compute capacity and design elastic scaling to meet variable demand.,"Adjusts capacity settings within defined limits under review, monitoring basic utilization against thresholds.","Independently configures standard autoscaling rules and capacity buffers, tuning routine thresholds with normal review.","Designs scaling policies and capacity models for ambiguous, bursty demand and resolves hard scaling-stability issues.","Defines the capacity-planning and autoscaling approach others adopt, solving complex demand-prediction and cost-tradeoff problems.","Sets organization-wide capacity strategy, anticipating demand shifts and how scaling design should evolve.","Defines what sound capacity and autoscaling design means for the discipline, shaping industry practice."
OPS-17,Engineering & Technology,"Systems, Infrastructure & Operations",Compute & Workload Orchestration,Operating system & host administration,Technical,"Administer, harden, and tune host operating systems and their runtime services.","Performs routine host tasks like updates and user setup under review, following documented procedures.","Independently administers hosts, manages packages, services, and permissions, troubleshooting routine issues with review.","Tunes and hardens hosts for ambiguous workloads and diagnoses hard kernel, resource, and performance problems.","Defines host-administration standards and hardening baselines others adopt, solving deep OS-level and tuning problems.","Sets organization-wide host-management strategy, anticipating shifts in operating-system administration practice.","Defines what excellent host administration means for the field, externally credible in shaping OS practice."
OPS-18,Engineering & Technology,"Systems, Infrastructure & Operations",Compute & Workload Orchestration,Storage & data persistence design,Technical,"Design block, object, and file storage for durability, performance, and access patterns.","Provisions and attaches storage from defined options under review, verifying capacity and access settings.","Independently manages storage volumes, snapshots, and routine persistence configuration with normal review.","Designs persistence schemes balancing durability, performance, and cost for ambiguous needs, resolving hard data-integrity issues.","Defines storage architecture and persistence patterns others adopt, solving deep consistency, replication, and performance problems.","Sets organization-wide storage and persistence strategy, anticipating where data-durability design is heading.","Defines what sound data-persistence design means for the discipline, shaping industry storage practice."
OPS-19,Engineering & Technology,"Systems, Infrastructure & Operations",Networking & Connectivity,Network design & routing,Technical,"Architect network topologies, subnets, and routing for connectivity and segmentation.","Configures basic network segments and routes from designs under review, verifying connectivity.","Independently builds standard network topologies, manages routing and segmentation for routine needs with review.",Designs routing and addressing schemes for ambiguous topologies and diagnoses hard reachability and routing failures.,"Defines network architecture and routing patterns others adopt, solving deep segmentation, scale, and convergence problems.","Sets organization-wide network strategy and standards, anticipating shifts in network design and routing.","Defines what good network design means for the field, externally credible in shaping routing practice."
OPS-20,Engineering & Technology,"Systems, Infrastructure & Operations",Networking & Connectivity,Load balancing & traffic management,Technical,Distribute and shape traffic across endpoints for availability and performance.,"Configures basic load-balancing rules from templates under review, verifying traffic reaches healthy targets.","Independently manages standard balancing, health checks, and routing rules for routine traffic with review.",Designs traffic-distribution and failover policies for ambiguous patterns and resolves hard balancing and session issues.,"Defines traffic-management patterns others adopt, solving deep distribution, affinity, and graceful-degradation problems.","Sets organization-wide traffic-management strategy, anticipating how load distribution and routing should evolve.","Defines what effective traffic management means for the discipline, shaping industry load-balancing practice."
OPS-21,Engineering & Technology,"Systems, Infrastructure & Operations",Networking & Connectivity,DNS & service discovery,Technical,Resolve names and dynamically locate services across distributed systems.,"Creates and edits basic name records under review, verifying resolution behaves as documented.","Independently manages zones, records, and standard service-registration for routine needs with normal review.","Designs resolution and discovery schemes for ambiguous, dynamic environments and resolves hard propagation and caching issues.","Defines naming and discovery architecture others adopt, solving deep resolution, failover, and registration problems.","Sets organization-wide naming and discovery strategy, anticipating shifts in service-discovery practice.","Defines what robust naming and discovery means for the field, shaping industry DNS and discovery practice."
OPS-22,Engineering & Technology,"Systems, Infrastructure & Operations",Networking & Connectivity,Network protocols & packet-level troubleshooting,Technical,Diagnose connectivity using knowledge of layered protocols and packet behavior.,Captures traffic and reads basic protocol fields under guidance to confirm expected behavior.,Independently traces standard protocol exchanges and diagnoses routine connectivity faults from captures with review.,"Dissects complex multi-layer exchanges for ambiguous faults and resolves hard latency, fragmentation, and handshake issues.","Defines packet-analysis methods others adopt, solving deep protocol-interaction and elusive intermittent-failure problems.","Sets organization-wide troubleshooting standards and tooling direction, anticipating protocol-behavior challenges.","Defines what rigorous packet-level diagnosis means for the discipline, externally credible in protocol practice."
OPS-23,Engineering & Technology,"Systems, Infrastructure & Operations",Networking & Connectivity,"Edge, CDN & content delivery",Technical,Cache and serve content near users to reduce latency and origin load.,"Configures basic caching and delivery rules from templates under review, verifying content serves correctly.","Independently manages edge caching, invalidation, and routing for routine content with normal review.",Designs delivery and caching strategies for ambiguous traffic and resolves hard cache-coherence and edge-routing issues.,"Defines edge-delivery architecture others adopt, solving deep caching, origin-offload, and latency problems.","Sets organization-wide content-delivery strategy, anticipating shifts in edge and distribution practice.","Defines what excellent content delivery means for the field, shaping industry edge and CDN practice."
OPS-24,Engineering & Technology,"Systems, Infrastructure & Operations",Networking & Connectivity,Secure connectivity & network perimeter,Technical,"Establish encrypted tunnels, gateways, and boundaries between trust zones.","Applies predefined firewall and tunnel rules under review, verifying allowed and blocked paths behave correctly.","Independently manages standard perimeter controls, secure tunnels, and segmentation rules with normal review.",Designs perimeter and encrypted-connectivity schemes for ambiguous needs and resolves hard isolation and access issues.,"Defines perimeter architecture and secure-connectivity patterns others adopt, solving deep segmentation and trust problems.","Sets organization-wide perimeter and secure-connectivity strategy, anticipating shifts in network-security practice.","Defines what strong network perimeter design means for the discipline, externally credible in shaping practice."
OPS-25,Engineering & Technology,"Systems, Infrastructure & Operations",Resilience & Continuity,"Backup, DR & business continuity",Technical,"Plan backups, recovery objectives, and failover to survive disruptive events.","Runs scheduled backups and restore tests under review, verifying jobs complete and data is recoverable.","Independently manages backup schedules, retention, and routine restores, validating recovery points with review.","Designs backup and recovery schemes for ambiguous needs, meeting recovery objectives and resolving hard restore issues.","Defines continuity architecture and recovery patterns others adopt, solving deep cross-failure and dependency problems.","Sets organization-wide continuity strategy and recovery objectives, anticipating evolving business-continuity needs.","Defines what credible business continuity means for the discipline, shaping industry disaster-recovery practice."
OPS-26,Engineering & Technology,"Systems, Infrastructure & Operations",Resilience & Continuity,High availability & fault-tolerance design,Technical,Eliminate single points of failure through redundancy and graceful degradation.,"Configures basic redundancy and failover from designs under review, verifying standby paths activate.",Independently builds standard redundant setups and failover behavior for routine services with normal review.,"Designs availability schemes for ambiguous failure modes and resolves hard split-brain, quorum, and failover issues.","Defines fault-tolerance patterns others adopt, solving deep redundancy, isolation, and graceful-degradation problems.","Sets organization-wide availability strategy and targets, anticipating where resilience design is heading.","Defines what genuine fault tolerance means for the discipline, externally credible in shaping availability practice."
OPS-27,Engineering & Technology,"Systems, Infrastructure & Operations",Resilience & Continuity,Platform & developer-experience engineering,Technical,Build self-service internal platforms and paved paths that streamline delivery.,"Maintains existing self-service platform components under review, addressing documented user requests.",Independently builds and supports standard platform capabilities and templates for routine developer needs with review.,"Designs self-service workflows for ambiguous needs, reducing friction and resolving hard abstraction and adoption issues.","Defines platform architecture and golden paths others adopt, solving deep developer-experience and leverage problems.","Sets organization-wide platform strategy, anticipating how developer-experience engineering should evolve.","Defines what excellent platform engineering means for the field, shaping industry developer-experience practice."
OPS-28,Engineering & Technology,"Systems, Infrastructure & Operations",Operating Mindset,Automation-first operations,Behavioral,Default to eliminating toil by automating repetitive operational work.,"Runs and lightly edits existing automation under review, flagging tasks that remain manual.",Independently automates routine operational tasks and integrates them into standard workflows with normal review.,"Designs automation for ambiguous, error-prone toil and resolves hard reliability and orchestration issues in pipelines.","Defines automation patterns and toil-elimination practices others adopt, solving deep workflow and safety problems.","Sets organization-wide automation strategy, anticipating where automation-first operations should head.","Defines what automation-first operations means for the discipline, externally credible in shaping the practice."
OPS-29,Engineering & Technology,"Systems, Infrastructure & Operations",Operating Mindset,Systems thinking & failure-mode reasoning,Behavioral,Reason about emergent behavior and cascading failures across interdependent systems.,"Traces simple cause-and-effect across components under guidance, identifying obvious failure points.",Independently maps standard system interactions and reasons through routine failure modes with normal review.,"Analyzes emergent behavior and cascading failures in ambiguous systems, anticipating non-obvious failure interactions.","Defines failure-mode reasoning methods others adopt, solving deep systemic and feedback-loop problems others miss.","Sets organization-wide approaches to systems reasoning, anticipating where complex-failure analysis is heading.","Defines what rigorous systems thinking means for the discipline, externally credible in shaping the practice."
OPS-30,Engineering & Technology,"Systems, Infrastructure & Operations",Operations,Progressive Delivery & Release Safety,Technical,"Manages how change reaches production safely — decoupling deploy from release with feature flags, staged and canary rollouts, rollback readiness, and migration sequencing that bounds the blast radius of every change.","Follows the release process exactly — flags, staged rollout steps, verification checklists — verifies their change in production, and rolls back with guidance.","Ships behind flags with a rollback plan by default, monitors rollouts and reverts on their own judgment when signals degrade, and writes changes that tolerate both versions running during rollout.","Designs the rollout for risky changes — canary criteria, migration sequencing, flag lifecycle, kill switches — and reviews others' rollout plans for blast radius; the person teams ask how to ship something safely.","Builds progressive-delivery machinery multiple teams release through (flag platforms, automated canary analysis, automated rollback), retiring deploy patterns that cause repeat incidents and measurably raising deploy frequency.","Owns release policy for an organization and its delivery metrics — rollout standards, freeze rules, environment strategy — dismantling ceremony that adds no safety.","Sets how an entire company's software reaches customers — the risk posture products ship under — and defends it to executives, auditors, and regulators."
OPS-31,Engineering & Technology,"Systems, Infrastructure & Operations",Operating Mindset,Thinnest viable platform scoping,Behavioral,"Scopes an internal platform to the smallest set of APIs, tools, docs, and services that accelerates its consumers - making explicit build-buy-adopt decisions and retiring surface area that no longer earns its maintenance cost.","Checks for an existing tool, service, or open-source option before writing new code and raises what they find; asks whether a proposed task serves a real user need.","Proposes wrapping or configuring an existing service instead of building new when it meets the need, writing the comparison down and defending removal of unused features in their own component.","Keeps a whole capability at its thinnest viable size - makes explicit, documented build-buy-adopt decisions, ships the thinnest version that serves proven demand, and retires surface area whose maintenance cost exceeds its value.","Arbitrates overlap and sprawl across teams - merges duplicate offerings, cuts under-used surface, and sets the bar for what deserves to be shared platform at all.",Shapes the organization's platform boundary - what the platform owns versus product teams versus vendors - and drives the organization to shed what it should not own.,"Sets the build-buy-adopt principles an entire company references, keeping company-scale platform investment proportional to the delivery it unlocks."
OPS-32,Engineering & Technology,"Systems, Infrastructure & Operations",Operating Mindset,Cognitive-load management & abstraction design,Behavioral,"Designs tooling, interfaces, and abstractions to minimize the extraneous cognitive load imposed on the teams that consume them - deciding deliberately what consumers must and must not need to know, and measuring the load imposed.","Names the exact docs, errors, and setup steps that forced them to understand internals a consumer should not need, and files concrete simplification issues.","Reduces the concepts and steps a consumer must hold to use their component - collapsing configuration, defaulting decisions, rewriting errors to say what to do next - and shows the before/after.","Designs a capability's abstractions around what consumers must not have to know, so a first-time user succeeds without reading internals; measures load with time-to-first-success and support-ticket themes and treats regressions as defects.","Audits cognitive load across team boundaries - quantifying onboarding time, concepts-to-learn, and ticket themes - and drives the cross-boundary simplifications no single team could make.","Makes cognitive load a first-class organizational measure with explicit load budgets, vetoing designs that externalize complexity onto consuming teams.","Shapes company-level technology and team-boundary choices explicitly around team cognitive load, arguing for fewer, deeper abstractions over sprawling optionality."
SEC-01,Engineering & Technology,Security Engineering,Identity & Access,Identity & access management,Technical,"Govern identities, authentication, and least-privilege authorization across systems.","Provisions and deprovisions accounts from documented procedures, with approvals and access reviewed before activation.","Configures roles, group membership, and authentication factors independently for standard joiners, movers, and leavers.","Resolves complex entitlement conflicts and designs least-privilege role models for ambiguous, cross-system access needs.",Defines the identity lifecycle and authorization architecture that other engineers adopt across the organization.,"Sets identity strategy, governs federation and privileged-access standards, and anticipates emerging access risks.",Defines what sound identity practice means for the field and shapes how others govern access.
SEC-02,Engineering & Technology,Security Engineering,Identity & Access,Secrets & key management,Technical,"Securely generate, store, rotate, and distribute credentials and keys.","Stores and retrieves secrets using approved vaults, following rotation and handling procedures under review.","Configures secret storage, rotation schedules, and access scoping independently for routine services.",Designs key hierarchies and rotation strategies for complex systems with conflicting availability and security constraints.,Defines the secrets and key-management architecture and lifecycle others implement organization-wide.,Sets cryptographic-key governance and custody strategy and anticipates risks from emerging key threats.,Defines authoritative practice for secret and key stewardship that practitioners across the field adopt.
SEC-03,Engineering & Technology,Security Engineering,Identity & Access,Cryptography & data protection,Technical,"Apply encryption, hashing, and key practices to protect data at rest and in transit.","Applies approved encryption settings and protects data following documented schemes, with choices reviewed.",Selects and configures standard cryptographic primitives and data-protection controls independently for common cases.,Designs encryption schemes and key-usage patterns for ambiguous threat and compliance trade-offs.,Defines the cryptographic and data-protection patterns others reuse and resolves problems they cannot.,Sets cryptographic standards and migration strategy and anticipates shifts such as quantum-resistant needs.,Defines what sound applied cryptography means for the discipline and influences industry data-protection norms.
SEC-04,Engineering & Technology,Security Engineering,Identity & Access,Zero-trust & policy-based access control,Technical,"Enforce continuous, context-aware authorization rather than implicit network trust.","Implements access policies from defined rules, verifying identity and context before granting under review.","Authors and tests policy rules for standard resources, enforcing context-aware checks independently.",Designs segmentation and policy models that resolve ambiguous trust boundaries and hard exceptions.,Defines the zero-trust architecture and policy framework other teams adopt.,Sets the organization's zero-trust strategy and anticipates how trust models must evolve.,Defines what mature zero-trust means for the field and shapes how the industry approaches it.
